 Principal Strain (m/m),Length (mm),Depth (mm),Length_to_Depth_Ratio
5.24E-09,468.9871372,87.24780838,5.375345765
5.88E-09,454.2750649,96.1877149,4.72279714
5.80E-09,469.0185421,99.10593022,4.732497248
5.62E-09,462.7206845,91.44546162,5.060072707
7.53E-09,372.6575062,144.1020926,2.586065889
7.48E-09,408.0970832,146.4778599,2.786066669
6.12E-09,465.6123449,103.9500742,4.47919204
7.61E-09,360.4414395,133.6781432,2.696337867
7.55E-09,389.8996752,138.7856313,2.809366297
7.30E-09,394.8560535,136.1475278,2.900207295
