Length (mm),Depth (mm),Length_to_Depth_Ratio,Max Principal Strain (Compensated),Equivalent Strain (Compensated)
403.1,101,3.991089109,1.64E-08,2.19E-08
399.9,100.9,3.96333003,1.48E-08,1.95E-08
403,99.5,4.050251256,1.21E-08,1.71E-08
397.8,99.7,3.98996991,1.09E-08,1.46E-08
398,99.1,4.016145308,9.71E-09,1.22E-08
397.3,100.7,3.945382324,6.89E-09,9.75E-09
402.2,100,4.022,5.37E-09,7.31E-09
400.2,99.4,4.026156942,3.77E-09,4.87E-09
397.9,100.1,3.975024975,1.54E-09,2.43E-09
398.2,100.3,3.970089731,2.26E-09,2.86E-09
403.9,99.6,4.055220884,2.26E-09,2.94E-09
401.7,100.5,3.997014925,2.73E-09,3.01E-09
401.8,100.7,3.990069513,2.57E-09,3.09E-09
403.7,99.2,4.069556452,2.36E-08,3.17E-09
407.8,99.3,4.106747231,2.00E-09,3.25E-09
408.6,99.6,4.102409639,2.36E-09,3.33E-09
406.5,100.1,4.060939061,2.74E-09,3.42E-09
401.4,99.5,4.034170854,2.63E-09,3.52E-09
402,99.3,4.048338369,2.19E-09,3.61E-09
405.6,100.7,4.027805362,1.73E-09,3.70E-09
407,99.8,4.078156313,2.59E-09,3.80E-09
412.5,99.6,4.141566265,2.54E-09,3.90E-09
408.9,99.4,4.113682093,2.50E-09,4.00E-09
407.5,100.7,4.046673287,2.40E-09,4.10E-09
411.7,99.2,4.150201613,2.96E-08,4.21E-09
408.2,100.2,4.073852295,3.86E-09,4.32E-09
407.4,99,4.115151515,2.79E-09,4.43E-09
413.8,99.7,4.150451354,3.76E-09,4.55E-09
410.3,100.5,4.082587065,3.22E-09,4.67E-09
407.5,100.9,4.038652131,3.32E-09,4.79E-09
411.4,99.7,4.126379137,3.31E-09,4.91E-09
411.9,100.7,4.090367428,3.62E-09,5.04E-09
418.9,99.9,4.193193193,4.52E-09,5.17E-09
412,100.4,4.103585657,4.32E-09,5.30E-09
415.6,100.8,4.123015873,4.00E-09,5.44E-09
418.5,100.5,4.164179104,4.34E-09,5.59E-09
417.8,99.7,4.190571715,4.28E-09,5.73E-09
414.4,100.2,4.135728543,4.09E-09,5.88E-09
411.9,99.7,4.131394183,4.51E-09,6.03E-09
413.3,100,4.133,4.57E-09,6.19E-09
422.5,100.3,4.212362911,4.29E-09,6.35E-09
416.3,99.5,4.183919598,4.86E-09,6.52E-09
423.8,100.5,4.216915423,4.43E-09,6.69E-09
421.4,99.4,4.23943662,5.35E-09,6.87E-09
362.6,60.5,5.99338843,1.58E-08,2.19E-08
440.4,144.8,3.041436464,1.40E-08,1.95E-08
390.2,107.6,3.626394052,1.24E-07,1.71E-08
375.6,54.3,6.917127072,1.10E-08,1.46E-08
383,113.6,3.371478873,9.11E-09,1.22E-08
425.2,136.9,3.105916728,6.83E-09,9.75E-09
376.1,80.6,4.666253102,6.11E-09,7.31E-09
430.1,118,3.644915254,3.48E-09,4.87E-09
442.5,61,7.254098361,1.80E-09,2.43E-09
416.1,99.2,4.194556452,2.33E-09,2.86E-09
395.7,143.5,2.757491289,1.99E-09,2.94E-09
452.2,84.8,5.33254717,2.38E-09,3.01E-09
441.3,126.8,3.480283912,2.87E-09,3.09E-09
371.3,142.4,2.60744382,2.00E-09,3.17E-09
413.4,55.4,7.462093863,1.30E-09,3.25E-09
379.7,96.7,3.926577042,1.73E-09,3.33E-09
454.2,83.5,5.439520958,2.39E-09,3.42E-09
448.3,103.5,4.331400966,2.32E-09,3.52E-09
391.2,93.5,4.183957219,2.13E-09,3.61E-09
441.9,108.6,4.069060773,2.51E-09,3.70E-09
374.5,107.5,3.48372093,2.76E-09,3.80E-09
457.8,138.2,3.312590449,3.07E-09,3.90E-09
397,145.6,2.726648352,2.83E-09,4.00E-09
375.4,115.9,3.238999137,2.80E-09,4.10E-09
382.1,137.5,2.778909091,3.12E-09,4.21E-09
389.4,126.8,3.070977918,3.51E-09,4.32E-09
380.2,93.05,4.085975282,2.63E-09,6.37E-09
403,128.3,3.141075604,1.61E-09,8.11E-09
419.4,101.6,4.127952756,3.40E-09,8.97E-09
413,76,5.434210526,1.88E-09,8.02E-09
431,108.7,3.965041398,3.54E-10,1.04E-09
385,119.2,3.229865772,4.12E-09,7.01E-09
410.5,116.3,3.52966466,6.16E-09,6.13E-09
385,97.8,3.936605317,4.36E-10,7.37E-09
410.8,89.2,4.605381166,2.74E-10,3.28E-09
